Keywords,Utterance,Response
"night stay, overnight stay, one night","can i book one night, overnight stay","Yes, you can book a room for one night or longer stays. Use the Rooms page to choose your stay length."
"payment issues, payment error, checkout error","i have a payment problem, payment failed","If payment fails, retry on the Make Payment page or contact customer service for assistance."
"feedback, review, complaint","how can i give feedback, leave a review","We welcome feedback. Use the Contact Us page to send comments, suggestions, or concerns about your stay."
"reservation help, booking support, assistance","need help with my reservation, booking support","Contact us through the Contact Us page for full support with booking, changes, or questions."
"luxury hotel, premium stay, elite hotel","what makes your hotel special, luxury features","Elite Hotels blends luxury accommodation with fine dining and warm hospitality for a memorable stay."
"food delivery, order room service, in-room dining","can i order food to my room, room delivery","Room service and food delivery are available. Check our Dining page for options and hours."
"room booking, instant booking, book now","i want to book now, reserve immediately","Click Book a Room on the home page or visit /rooms to complete your reservation quickly."
"event inquiry, book event, venue request","how do i book an event, event space inquiry","Submit your event request through /events and our team will follow up with venue details and pricing."
"kitchen, chef, food preparation","what does the kitchen team do, restaurant kitchen","Our kitchen team prepares fresh meals and chef specials. The Dining page shares cuisine highlights and menu items."
"profile update, edit account, change details","how can i update my account details, edit profile","Sign in and go to the Profile page to update your account information and personal details."
"booking history, past bookings, my bookings","where can i see my past bookings, booking history","Your booking history is available in Profile after you sign in."
"support request, question, assistance","i have a question about the hotel, need assistance","Send your question through the Contact Us page and our team will reply soon."
"hotel address, street address, location details","what is your address, hotel location","We are located in Westlands, Nairobi. Visit Contact Us or reach out by phone for exact directions."
"room services, extra towels, housekeeping","can i request extra towels, housekeeping service","Ask the front desk or use Contact Us to request housekeeping, towels, or room service during your stay."
"check-in requirements, id, documents","what do i need to check in, documents required","Bring a valid ID and confirmation details to check in. Contact us if you need help with requirements."
"payment confirmation, receipt email, transaction details","did my payment go through, payment confirmation","Payment confirmation is sent after your transaction. Contact our reservations team for help if you do not receive it."
"special requests, room request, accessible room","how do i request a special room, accessible room","Mention any special room needs during booking or contact us directly so we can arrange the right room for you."
"guest lounge, common area, lobby","do you have a guest lounge, lobby area","We have welcoming guest areas and a comfortable lobby. Visit the hotel for details on public spaces and services."
"restaurant reservation, private dining, chef table","can i reserve private dining, chef table","Private dining may be available. Contact the Dining team to discuss special meal arrangements."
"extended stay, long stay, stay longer","can i stay longer, extend my stay","You can extend your stay depending on availability. Contact reservations or the front desk to arrange an extension."
"daily housekeeping, room cleaning, cleanup","do you offer daily housekeeping, room cleaning","Daily housekeeping is available. Request it during your stay through the front desk or in-room service."
"welcome offer, first visit, new guest","do you offer a welcome discount, first-time guest offer","We may have first-time guest offers. Check online promotions or contact reservations for current welcome deals."
"quiet room, peaceful stay, restful stay","do you have quiet rooms, peaceful stay","We offer calm and comfortable rooms designed for a restful stay. Ask our team for quiet room placement."
"business traveler, meeting support, work friendly","do you have work desks, business travel support","Many rooms include work desks and reliable internet for business guests. We also offer meeting spaces for business needs."
"restaurant specials, dinner menu, lunch menu","what is on today's dinner menu, lunch options","See the Dining page for the latest lunch and dinner menu items and special specials."
"hotel check-in, arrival details, booking info","how do i prepare for check-in, booking details","Bring your booking confirmation and valid ID. Contact us if you need assistance with arrival or check-in details."
"customer support, reservation questions, booking assistance","how can i contact support, reservation questions","Use the Contact Us page or phone number for direct customer support and booking assistance."
"event packages, corporate events, private events","what event packages do you offer, corporate event plans","We offer tailored event packages for corporate meetings and private functions. Submit an Event Inquiry for pricing and setup."
"guest services, concierge services, hotel services","what guest services are available, concierge help","Our guest services team can assist with dining reservations, transport, room requests, and local recommendations."
"hotel booking, room reservation, book accommodation","how do i reserve accommodation, make a booking","Book your stay through the website's Rooms page or use the Book a Room button on the home page."
"hotel policies, stay rules, guest policy","what are your hotel policies, stay rules","Hotel policies are shared at booking and check-in. Contact us if you need clarification on any policy details."
"reservation question, booking question, booking issue","i have a problem with my reservation, booking question","Contact us through the Contact Us page for fast help with booking questions or issues."
"dining request, menu inquiry, food question","can i ask about the menu, special dietary requests","Yes, ask our Dining team about menu options and special dietary needs via the Dining page."
"booking reminder, upcoming stay, reservation reminder","how can i see my upcoming stay, reservation reminder","Your upcoming reservation appears in Profile after signing in. Contact us if you need assistance viewing it."
"hotel lounge, guest area, relaxation space","is there a lounge area, guest relaxation space","We offer comfortable public spaces for guests. Ask the front desk about lounge amenities and areas."
"room details, bed type, room layout","what are the room details, bed type","Room details and bed options are available on the Rooms page next to each room listing."
"event support, event coordination, party planning","do you help plan parties, coordinate events","Our Event Inquiry team can help coordinate parties, meetings, and celebrations. Send your details online and we will respond."
"luxury stay, premium experience, elite service","what makes a stay elite, premium experience","Elite Hotels combines polished service, luxury rooms, and an excellent dining experience to make your stay special."
"reservation link, book link, booking page","where do i book, booking page link","Use the Rooms page or the Book a Room button on the home page to start your reservation."
"customer service, support team, help line","how do i reach customer service, help line","Contact us through the Contact Us page or call the listed phone number for customer service support."
"travel request, airport pickup, transfer help","can you arrange airport pickup, transfer request","We can help arrange airport transfers. Contact our reservations team for details and pricing."
"hotel dining, restaurant chef, meal options","tell me about hotel dining, restaurant chef","Our dining experience includes chef-curated meals and seasonal menu options. See /dining for more detail."
"room booking details, stay details, reservation details","what are the booking details, reservation information","Review your reservation confirmation email or log into Profile for full booking details."
"special accommodation, accessible room, disability access","do you provide accessible rooms, special accommodation","We can arrange accessible rooms and special accommodation on request. Contact us to reserve the correct room type."
"hotel email, contact email, reservations email","what is the hotel email, contact email","Email reservations@elitehotels.com for booking questions or the Contact Us page for direct messages."
"booking support, current offer, hotel deal","do you have current deals, booking support","Check online promotions or reach out via Contact Us for current hotel deals and booking assistance."
"hotel amenities list, facilities list, services list","what facilities does the hotel have, services offered","Our hotel features rooms, dining, events, guest support, and business-friendly amenities. See the website for details."
"booking confirmation resend, confirmation email missing, email resend","i need my booking confirmation resent","Contact our reservations team through the website and we will resend your booking confirmation email."
"hello, hi, greet","hello, hi, hey, greetings","Hello! I am your Hotel assistant. How can I help you today?"
